Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Toyota,Camry,2018.0,Silver,Nigerian Used,122977.0,2500.0,Imported,15750000.0,abuja
Chrysler,Pacifica,2005.0,Blue,Nigerian Used,182907.0,3500.0,Registered,1912500.0,akwa ibom
Toyota,Highlander,2002.0,Black,Nigerian Used,224637.0,3000.0,Registered,2475000.0,abuja
Nissan,Pathfinder,2003.0,Gray,Nigerian Used,268912.0,3500.0,Registered,1912500.0,lagos
Honda,Accord,2013.0,Gray,Nigerian Used,97843.0,2400.0,Registered,5737500.0,niger
Toyota,Camry,2007.0,Silver,Nigerian Used,182375.0,2400.0,Imported,3712500.0,lagos
Toyota,Avalon,2005.0,Black,Nigerian Used,34582.0,3500.0,Registered,2520000.0,lagos
Mercedes-Benz,C280,2006.0,Brown,Nigerian Used,332808.0,3000.0,Registered,1800000.0,abuja
Honda,Accord,2001.0,Gray,Nigerian Used,331342.0,2300.0,Registered,1350000.0,nasarawa
Lexus,RX 300,2003.0,Black,Nigerian Used,212153.0,3000.0,Registered,3037500.0,unknown
Lexus,ES,2002.0,Blue,Nigerian Used,190860.0,3000.0,Registered,2475000.0,lagos
Acura,MDX,2005.0,Silver,Nigerian Used,236059.0,3500.0,Imported,1912500.0,lagos
Toyota,Camry,2007.0,Gray,Nigerian Used,152346.0,2500.0,Registered,2756250.0,lagos
Toyota,Avalon,2003.0,Gold,Nigerian Used,370516.0,3000.0,Registered,1282500.0,lagos
Toyota,Matrix,2004.0,Red,Nigerian Used,373870.0,1800.0,Imported,2250000.0,lagos
Mercedes-Benz,GLK-Class,2010.0,Black,Nigerian Used,307190.0,3500.0,Imported,9000000.0,lagos
Toyota,Sienna,2005.0,Silver,Nigerian Used,234447.0,3300.0,Imported,2925000.0,unknown
Toyota,Camry,2008.0,Green,Nigerian Used,324687.0,2400.0,Registered,2700000.0,lagos
Acura,TLX,2015.0,Black,Nigerian Used,115900.0,3500.0,Imported,16590000.0,unknown
Toyota,Highlander,2015.0,Gold,Nigerian Used,121114.0,3500.0,Imported,18000000.0,abuja
Toyota,Camry,2004.0,Silver,Nigerian Used,298598.0,2400.0,Imported,3375000.0,enugu
Toyota,RAV4,2006.0,Black,Nigerian Used,101054.0,2400.0,Imported,3744000.0,abuja
Toyota,Camry,2002.0,Silver,Nigerian Used,123523.0,2800.0,Registered,1462500.0,lagos
Mercedes-Benz,GLK-Class,2013.0,Red,Foreign Used,179394.0,3500.0,Imported,12375000.0,unknown
Lexus,RX 350,2012.0,Black,Foreign Used,288395.0,3500.0,Imported,15187500.0,unknown
Mercedes-Benz,C200,2004.0,Blue,Nigerian Used,301322.0,1800.0,Imported,1687500.0,edo
Toyota,Corolla,2008.0,Gold,Nigerian Used,104975.0,1800.0,Registered,3937500.0,rivers
Mercedes-Benz,M Class,2006.0,Silver,Nigerian Used,241635.0,3500.0,Imported,5625000.0,abuja
Toyota,Tacoma,2007.0,Red,Nigerian Used,353404.0,4000.0,Imported,8100000.0,lagos
Honda,Accord,2016.0,Blue,Nigerian Used,68998.0,3500.0,Registered,13500000.0,lagos
Nissan,Pathfinder,2001.0,Gray,Nigerian Used,329510.0,3500.0,Imported,1417500.0,lagos
Volkswagen,Sharan,2001.0,White,Nigerian Used,215245.0,3000.0,Imported,5062500.0,abuja
Toyota,Avensis,2004.0,Silver,Nigerian Used,184866.0,2000.0,Imported,2925000.0,lagos
Toyota,Camry,2009.0,Silver,Nigerian Used,263904.0,3500.0,Registered,4050000.0,abuja
Toyota,Sienna,2011.0,Silver,Nigerian Used,398863.0,3500.0,Registered,6300000.0,ogun
Toyota,Sienna,2005.0,Blue,Nigerian Used,199089.0,3300.0,Imported,3600000.0,lagos
Toyota,Sienna,2005.0,Gray,Nigerian Used,343969.0,3300.0,Registered,3937500.0,bayelsa
Toyota,RAV4,2019.0,Blue,Nigerian Used,42648.0,2500.0,Imported,18562500.0,lagos
Volkswagen,Jetta,2013.0,White,Nigerian Used,166733.0,2000.0,Registered,4106250.0,abuja
Lexus,RX 400h,2008.0,Burgandy,Nigerian Used,174430.0,3500.0,Imported,4275000.0,unknown
Mercedes-Benz,M Class,2004.0,Silver,Nigerian Used,235488.0,3500.0,Imported,2340000.0,lagos
Toyota,Venza,2009.0,Brown,Nigerian Used,145162.0,3500.0,Imported,5985000.0,unknown
Honda,Pilot,2006.0,Silver,Nigerian Used,381576.0,3500.0,Registered,2025000.0,delta
Volkswagen,Passat,2008.0,Blue,Nigerian Used,143123.0,2000.0,Registered,1462500.0,kano
Mercedes-Benz,GLE-Class,2017.0,Red,Nigerian Used,141193.0,3000.0,Imported,40500000.0,unknown
Acura,MDX,2007.0,Gray,Nigerian Used,186294.0,3500.0,Imported,3937500.0,unknown
Nissan,Altima,2015.0,Black,Nigerian Used,133715.0,2500.0,Registered,7537500.0,lagos
Opel,Combo,2007.0,Blue,Nigerian Used,424310.0,1700.0,Registered,1687500.0,lagos
GAC,GS8,2021.0,Black,Nigerian Used,54212.0,2000.0,Registered,18000000.0,unknown
Honda,CR-V,2007.0,Black,Nigerian Used,175656.0,2400.0,Imported,2730000.0,unknown
Toyota,Corolla,2003.0,Silver,Nigerian Used,212642.0,1600.0,Imported,3375000.0,lagos
Toyota,Camry,2004.0,Gray,Nigerian Used,306526.0,2400.0,Imported,2704000.0,unknown
Infiniti,FX35,2004.0,Black,Nigerian Used,103952.0,3500.0,Registered,2250000.0,unknown
Nissan,Altima,2010.0,Silver,Nigerian Used,299951.0,2500.0,Registered,2250000.0,lagos
